0.02,0.13,1.07,,,,,,
0.03,0.07,1.14,,,,,,
0.05,0.01,1.16,,,,,,
0.04,0.04,1.06,,,,,,
0.04,0.07,0.99,,,,,,
0.03,0.07,0.98,,,,,,
0.03,0.05,1.01,,,,,,
0.02,0.03,1.03,,,,,,
0.03,0.02,1.04,,,,,,
0.03,0.04,1.01,,,,,,
0.03,0.05,0.95,,,,,,
0.03,0.09,0.85,,,,,,
0.01,0.11,0.8,,,,,,
0.01,0.13,0.77,,,,,,
0.01,0.14,0.78,,,,,,
0.01,0.16,0.81,,,,,,
0.02,0.17,0.86,,,,,,
0.01,0.15,0.91,,,,,,
0.01,0.16,0.96,,,,,,
0,0.15,0.99,,,,,,
0.01,0.14,1.03,,,,,,
0.01,0.11,1.1,,,,,,
-0.01,0.09,1.16,,,,,,
-0.02,0.09,1.18,,,,,,
-0.03,0.08,1.2,,,,,,
-0.03,0.02,1.29,,,,,,
-0.03,-0.05,1.34,,,,,,
-0.01,-0.03,1.25,,,,,,
-0.03,0.03,1.11,,,,,,
-0.07,0.05,1,,,,,,
-0.1,0.01,1.01,,,,,,
-0.09,-0.03,1.08,,,,,,
-0.06,-0.02,1.09,,,,,,
-0.03,0,1.02,,,,,,
-0.02,0.06,0.93,,,,,,
-0.01,0.08,0.87,,,,,,
-0.02,0.08,0.84,,,,,,
-0.03,0.09,0.83,,,,,,
-0.01,0.12,1.03,,,,,,
0,0.1,1.09,,,,,,
0.01,0.09,1.11,,,,,,
0.01,0.14,1.09,,,,,,
0.01,0.12,1.1,,,,,,
0.01,0.04,1.21,,,,,,
0.04,-0.01,1.24,,,,,,
0.06,0.01,1.15,,,,,,
0.05,0.07,1.03,,,,,,
0.02,0.09,0.97,,,,,,
0.01,0.08,1.02,,,,,,
-0.01,0.02,1.08,,,,,,
-0.01,0,1.11,,,,,,
0,0.01,1.07,,,,,,
0.01,0.02,0.98,,,,,,
0.02,0.05,0.88,,,,,,
0.01,0.08,0.81,,,,,,
0.02,0.11,0.76,,,,,,
0.01,0.12,0.76,,,,,,
0.01,0.12,0.79,,,,,,
0.01,0.12,0.91,,,,,,
0.01,0.11,0.98,,,,,,
0.01,0.11,1.01,,,,,,
0.02,0.12,1.03,,,,,,
0,0.12,1.04,,,,,,
-0.01,0.12,1.06,,,,,,
-0.01,0.1,1.09,,,,,,
-0.02,0.1,1.1,,,,,,
-0.03,0.13,1.1,,,,,,
-0.04,0.08,1.28,,,,,,
-0.05,-0.04,1.3,,,,,,
-0.02,0.02,1.18,,,,,,
-0.04,0.06,1.06,,,,,,
-0.07,0.05,1,,,,,,
-0.09,0.02,1,,,,,,
